doc_id,department,queue_position,patients_ahead,hour_of_day,day_of_week,avg_consultation_time,active_priority_count,historical_delay_factor,no_show_rate,actual_wait_minutes
DOC_114,Orthopedics,6,5,10,3,18.8,0,1.17,0.15,125.6
DOC_112,Dermatology,17,16,9,4,15.6,3,1.14,0.1,414.1
DOC_110,Orthopedics,23,22,9,2,17.6,0,1.25,0.08,580.5
DOC_107,Cardiology,18,17,11,2,19.8,0,0.92,0.09,373.0
DOC_112,Neurology,2,1,9,1,20.7,0,0.83,0.17,19.0
DOC_108,Neurology,17,16,11,3,27.6,0,1.06,0.12,547.8
DOC_109,Dermatology,13,12,8,2,10.1,0,1.3,0.18,135.7
DOC_113,Orthopedics,6,5,11,0,15.1,1,0.93,0.13,117.9
DOC_100,Neurology,17,16,10,0,22.7,0,1.35,0.12,661.3
DOC_114,Dermatology,8,7,11,3,19.1,0,1.0,0.1,162.3
DOC_109,Pediatrics,6,5,11,0,15.0,0,0.96,0.1,92.6
DOC_103,Neurology,24,23,15,2,23.2,0,1.09,0.2,572.8
DOC_114,Neurology,4,3,8,5,26.2,0,0.92,0.15,66.6
DOC_108,Pediatrics,19,18,15,4,21.1,0,1.03,0.11,412.3
DOC_100,Dermatology,14,13,10,4,10.6,0,1.45,0.1,236.2
DOC_102,Cardiology,5,4,8,3,17.8,0,1.28,0.06,80.9
DOC_114,General Medicine,3,2,10,0,22.2,1,1.32,0.11,125.9
DOC_104,Orthopedics,22,21,8,4,18.3,0,1.36,0.08,501.2
DOC_113,Orthopedics,14,13,11,3,19.2,0,1.21,0.15,347.7
DOC_107,Neurology,1,0,14,0,25.8,0,1.43,0.11,2.8
DOC_113,General Medicine,19,18,10,2,15.7,0,1.03,0.07,353.8
DOC_114,General Medicine,4,3,17,0,20.1,0,0.97,0.16,61.8
DOC_113,Dermatology,10,9,10,5,16.5,0,1.07,0.12,188.1
DOC_103,General Medicine,4,3,14,1,11.9,0,1.22,0.13,55.2
DOC_109,Orthopedics,10,9,10,5,21.5,0,1.12,0.19,246.4
DOC_111,Pediatrics,1,0,8,3,15.5,0,0.87,0.19,9.3
DOC_104,General Medicine,9,8,10,4,12.6,0,1.39,0.19,160.2
DOC_100,Neurology,4,3,9,0,23.1,0,1.02,0.08,95.8
DOC_114,General Medicine,10,9,14,4,19.2,0,0.88,0.11,155.7
DOC_109,Orthopedics,2,1,15,2,17.8,0,1.44,0.09,29.8
DOC_108,Dermatology,17,16,14,2,14.4,0,0.81,0.15,189.3
DOC_106,Cardiology,8,7,11,0,17.6,0,1.08,0.11,180.2
DOC_107,Orthopedics,17,16,8,5,16.7,1,1.21,0.09,324.6
DOC_102,Pediatrics,18,17,11,2,8.0,0,0.93,0.18,147.7
DOC_106,Orthopedics,14,13,11,0,13.8,0,0.91,0.16,213.2
DOC_112,Cardiology,23,22,12,4,15.1,0,1.04,0.14,322.5
DOC_102,Cardiology,3,2,9,5,25.1,0,1.36,0.19,78.8
DOC_103,General Medicine,23,22,15,1,14.2,0,0.95,0.05,314.6
DOC_112,Orthopedics,2,1,15,4,13.0,0,0.98,0.11,19.4
DOC_106,Dermatology,9,8,10,3,10.6,0,1.48,0.17,147.1
DOC_100,Pediatrics,23,22,14,0,15.9,0,1.16,0.16,472.4
DOC_101,General Medicine,22,21,15,3,10.9,0,1.43,0.15,331.4
DOC_104,Orthopedics,10,9,11,5,18.4,0,1.08,0.12,214.7
DOC_111,General Medicine,21,20,9,4,19.9,1,1.08,0.17,528.0
DOC_113,Pediatrics,19,18,8,2,16.6,0,1.07,0.09,302.8
DOC_103,Cardiology,22,21,11,5,22.2,0,1.14,0.09,639.7
DOC_114,Dermatology,17,16,11,4,12.9,0,1.24,0.12,299.7
DOC_108,Cardiology,11,10,11,0,16.9,0,1.37,0.17,298.3
DOC_111,Orthopedics,19,18,10,2,19.9,2,0.9,0.19,410.7
DOC_106,Cardiology,24,23,14,4,20.5,1,1.31,0.15,657.8
DOC_107,Cardiology,9,8,16,1,20.8,0,1.5,0.13,235.9
DOC_105,Pediatrics,7,6,10,1,12.8,0,1.36,0.16,118.9
DOC_103,Orthopedics,17,16,12,2,20.8,0,1.14,0.18,343.4
DOC_110,Pediatrics,15,14,14,3,14.2,1,1.02,0.14,226.2
DOC_112,Pediatrics,3,2,15,5,14.3,0,0.93,0.11,31.1
DOC_102,Orthopedics,21,20,11,3,16.4,3,1.34,0.11,618.9
DOC_106,Dermatology,3,2,11,5,9.4,1,1.3,0.14,48.8
DOC_100,General Medicine,17,16,10,3,14.9,0,1.46,0.17,398.9
DOC_110,Dermatology,14,13,11,5,15.0,0,0.92,0.2,201.1
DOC_110,Dermatology,19,18,11,1,10.6,0,1.07,0.06,249.6
DOC_109,Orthopedics,22,21,16,0,19.4,0,1.22,0.13,536.2
DOC_110,Pediatrics,17,16,9,2,9.5,0,0.96,0.13,181.6
DOC_108,Dermatology,9,8,10,2,9.5,0,1.42,0.19,122.7
DOC_111,Pediatrics,5,4,14,1,16.6,0,1.06,0.09,77.7
DOC_104,Pediatrics,16,15,12,4,16.7,3,0.84,0.18,240.0
DOC_113,General Medicine,8,7,12,2,15.5,1,1.31,0.13,159.3
DOC_107,Dermatology,21,20,12,2,14.5,1,0.91,0.18,257.1
DOC_109,Cardiology,7,6,9,3,18.9,0,1.33,0.09,177.1
DOC_101,General Medicine,17,16,9,1,15.6,0,1.18,0.17,337.0
DOC_105,Orthopedics,2,1,10,3,18.7,0,1.33,0.17,34.0
DOC_103,Dermatology,17,16,14,0,11.4,0,1.04,0.14,221.8
DOC_110,Pediatrics,7,6,8,0,16.1,0,1.14,0.17,114.0
DOC_109,Pediatrics,4,3,10,4,14.7,1,1.17,0.17,79.5
DOC_110,Dermatology,20,19,12,2,13.4,1,1.47,0.05,389.6
DOC_112,General Medicine,6,5,9,4,9.5,0,1.41,0.16,75.0
DOC_101,Dermatology,14,13,9,4,13.5,1,1.34,0.18,293.4
DOC_103,Orthopedics,24,23,16,2,16.1,0,1.12,0.05,407.6
DOC_106,Cardiology,9,8,9,0,15.7,0,1.26,0.1,218.2
DOC_101,Orthopedics,18,17,11,5,23.9,0,1.29,0.18,594.8
DOC_105,Cardiology,24,23,9,3,19.9,3,0.9,0.12,559.3
DOC_105,Dermatology,18,17,10,1,13.6,0,1.42,0.06,404.3
DOC_112,Dermatology,6,5,11,5,8.0,0,1.38,0.06,63.1
DOC_111,Cardiology,9,8,8,0,20.6,1,1.41,0.16,287.3
DOC_113,Dermatology,7,6,12,3,15.1,0,1.35,0.12,113.1
DOC_114,Cardiology,18,17,8,3,19.3,0,1.41,0.08,439.9
DOC_106,Neurology,23,22,10,2,21.9,0,0.81,0.15,449.4
DOC_104,Cardiology,19,18,12,4,17.5,0,0.94,0.18,269.4
DOC_100,Neurology,24,23,10,3,24.7,1,1.34,0.13,939.1
DOC_101,Cardiology,21,20,10,3,27.8,1,1.43,0.11,997.8
DOC_109,Orthopedics,12,11,10,1,20.4,0,1.31,0.07,355.2
DOC_107,Dermatology,13,12,10,5,13.0,1,1.11,0.13,222.1
DOC_108,Dermatology,2,1,15,4,8.5,0,1.34,0.07,13.2
DOC_112,Orthopedics,16,15,11,1,17.5,0,0.9,0.12,281.1
DOC_107,Orthopedics,11,10,14,4,14.1,0,1.35,0.16,187.3
DOC_107,Dermatology,20,19,9,1,12.5,0,0.96,0.06,280.3
DOC_100,Orthopedics,5,4,9,2,20.2,0,0.9,0.2,81.5
DOC_107,Orthopedics,24,23,11,1,20.7,0,1.17,0.07,673.1
DOC_113,General Medicine,21,20,8,4,12.8,0,1.41,0.08,348.3
DOC_101,Cardiology,17,16,15,0,19.9,0,1.45,0.15,547.2
DOC_100,Cardiology,21,20,12,0,21.9,0,1.26,0.2,567.2
DOC_105,Cardiology,9,8,9,1,19.0,0,1.03,0.15,181.7
DOC_105,Pediatrics,19,18,15,0,17.2,0,1.18,0.05,452.8
DOC_114,Cardiology,21,20,10,4,16.2,0,0.97,0.11,365.5
DOC_111,Neurology,14,13,12,1,25.5,0,1.07,0.18,320.3
DOC_101,Neurology,4,3,11,5,20.1,1,1.3,0.13,129.8
DOC_104,Orthopedics,11,10,10,3,17.2,2,1.05,0.07,271.1
DOC_112,Dermatology,15,14,11,1,9.4,0,1.3,0.09,200.8
DOC_103,Pediatrics,12,11,9,4,14.6,0,1.01,0.17,185.0
DOC_112,Pediatrics,22,21,14,0,14.6,0,1.17,0.07,440.7
DOC_112,Neurology,9,8,14,1,25.1,0,1.05,0.19,210.0
DOC_107,Cardiology,18,17,14,3,22.2,0,1.27,0.06,509.0
DOC_103,Pediatrics,15,14,9,3,21.7,1,0.95,0.06,375.2
DOC_104,Orthopedics,10,9,9,4,20.9,0,1.15,0.2,251.1
DOC_102,General Medicine,7,6,14,2,13.1,3,0.89,0.07,125.1
DOC_109,Neurology,14,13,9,4,20.1,1,0.93,0.1,317.4
DOC_110,Neurology,17,16,15,3,23.2,1,0.96,0.13,394.0
DOC_105,Pediatrics,3,2,9,1,11.7,3,1.26,0.13,100.6
DOC_101,Neurology,4,3,16,4,27.6,0,0.94,0.13,66.5
DOC_113,Neurology,17,16,10,3,29.8,0,1.07,0.07,614.3
DOC_102,Neurology,21,20,8,5,28.6,0,1.33,0.07,734.6
DOC_111,Neurology,13,12,10,4,24.1,0,0.97,0.13,326.4
DOC_102,Dermatology,18,17,11,2,12.6,1,1.2,0.13,321.8
DOC_103,Pediatrics,6,5,14,2,8.0,0,1.17,0.16,47.5
DOC_102,Dermatology,3,2,9,1,10.4,0,1.47,0.14,39.0
DOC_109,Cardiology,1,0,16,5,17.8,0,1.43,0.17,9.2
DOC_103,Orthopedics,21,20,8,0,15.6,0,0.86,0.17,283.6
DOC_111,General Medicine,11,10,12,3,17.2,0,1.07,0.13,170.5
DOC_101,Pediatrics,18,17,8,0,14.8,0,0.92,0.06,253.0
DOC_111,Neurology,16,15,8,3,22.7,0,0.96,0.08,311.8
DOC_111,Dermatology,6,5,10,4,13.5,1,1.11,0.08,107.9
DOC_106,Orthopedics,5,4,10,4,21.6,0,1.09,0.12,109.5
DOC_105,Neurology,24,23,11,0,27.6,0,1.38,0.14,1168.3
DOC_104,Pediatrics,11,10,10,3,10.8,0,0.9,0.07,114.6
DOC_101,Dermatology,3,2,10,3,14.2,1,1.07,0.19,51.9
DOC_100,Cardiology,9,8,12,3,20.9,0,1.0,0.19,148.8
DOC_111,General Medicine,8,7,15,0,14.9,0,0.85,0.13,109.5
DOC_102,General Medicine,5,4,8,0,15.3,1,1.26,0.17,112.7
DOC_102,Cardiology,11,10,17,2,16.0,0,0.93,0.08,139.4
DOC_104,General Medicine,10,9,8,3,18.6,1,1.35,0.08,248.3
DOC_108,Pediatrics,9,8,12,1,12.4,0,1.43,0.1,131.7
DOC_103,Dermatology,13,12,11,3,9.0,0,0.83,0.07,107.9
DOC_101,Cardiology,18,17,16,5,16.9,2,1.27,0.12,385.5
DOC_100,General Medicine,23,22,15,3,17.6,2,0.98,0.16,425.6
DOC_104,Neurology,7,6,9,2,26.5,0,1.33,0.09,255.0
DOC_111,General Medicine,21,20,14,2,13.4,2,1.14,0.07,364.1
DOC_111,General Medicine,1,0,11,5,19.4,0,1.28,0.18,0.0
DOC_114,Cardiology,10,9,11,0,18.1,1,1.42,0.09,361.7
DOC_102,Pediatrics,21,20,14,2,11.1,0,1.05,0.17,238.4
DOC_103,Dermatology,19,18,15,5,8.0,1,1.5,0.11,235.8
DOC_112,Dermatology,3,2,9,5,13.8,0,1.29,0.05,44.6
DOC_105,Neurology,20,19,10,3,28.5,0,1.31,0.07,853.7
DOC_109,Dermatology,2,1,11,2,18.2,0,1.38,0.12,33.7
DOC_113,Orthopedics,6,5,9,3,17.5,0,1.11,0.07,115.6
DOC_106,Cardiology,20,19,8,3,17.5,1,1.5,0.19,481.1
DOC_112,Cardiology,16,15,9,5,25.6,3,1.32,0.16,724.9
DOC_109,General Medicine,18,17,9,2,13.5,0,1.38,0.09,374.2
DOC_100,Orthopedics,10,9,15,1,19.0,1,1.39,0.08,283.9
DOC_100,General Medicine,6,5,12,5,11.5,1,1.15,0.12,67.3
DOC_108,Dermatology,12,11,9,3,10.2,0,1.47,0.06,201.6
DOC_111,Pediatrics,3,2,9,5,12.1,0,0.99,0.16,24.4
DOC_109,Cardiology,20,19,12,2,18.4,0,1.17,0.11,386.5
DOC_106,Neurology,15,14,15,4,25.7,0,1.09,0.09,412.3
DOC_108,General Medicine,24,23,10,2,11.7,3,1.23,0.1,457.1
DOC_108,Cardiology,10,9,8,5,18.7,0,1.17,0.07,188.1
DOC_101,Dermatology,22,21,11,1,11.1,0,1.12,0.12,307.3
DOC_104,General Medicine,16,15,11,5,13.7,0,1.35,0.07,341.7
DOC_110,Pediatrics,21,20,9,3,8.6,1,1.16,0.08,253.6
DOC_104,Neurology,9,8,11,3,23.5,1,0.82,0.06,212.2
DOC_113,Orthopedics,20,19,14,3,18.3,0,1.08,0.06,403.8
DOC_104,Orthopedics,8,7,10,3,16.4,1,0.99,0.1,156.5
DOC_108,Neurology,20,19,11,1,21.3,0,1.4,0.19,641.4
DOC_101,Orthopedics,5,4,14,2,16.4,0,1.36,0.2,86.5
DOC_102,Cardiology,16,15,17,4,20.1,3,1.27,0.15,447.2
DOC_103,Dermatology,23,22,9,4,11.4,0,1.17,0.16,340.9
DOC_101,Pediatrics,9,8,14,1,15.6,0,1.33,0.2,163.1
DOC_101,Dermatology,2,1,14,3,8.0,0,0.92,0.16,5.3
DOC_107,Pediatrics,20,19,15,2,14.3,0,1.32,0.15,363.6
DOC_105,Cardiology,15,14,9,0,19.7,0,1.27,0.1,482.6
DOC_107,Dermatology,20,19,9,2,9.2,0,1.16,0.1,242.6
DOC_114,General Medicine,12,11,9,0,16.5,1,1.27,0.09,351.7
DOC_100,Neurology,2,1,10,5,27.0,0,1.07,0.07,41.5
DOC_102,Neurology,17,16,8,5,24.7,2,1.0,0.18,421.4
DOC_102,Neurology,9,8,15,4,25.6,2,1.31,0.1,366.3
DOC_106,Cardiology,14,13,9,4,22.0,0,0.87,0.09,295.7
DOC_100,Dermatology,3,2,9,5,14.4,1,0.83,0.19,38.6
DOC_107,Pediatrics,9,8,17,4,17.9,1,1.0,0.11,161.9
DOC_110,Neurology,5,4,9,4,25.2,0,0.88,0.06,111.6
DOC_112,Cardiology,24,23,16,4,22.9,0,0.86,0.19,411.7
DOC_113,Cardiology,22,21,11,2,17.0,0,1.35,0.15,555.6
DOC_106,Dermatology,13,12,17,3,11.3,2,1.22,0.16,181.0
DOC_100,Neurology,17,16,8,5,24.7,0,0.9,0.09,339.0
DOC_100,Cardiology,8,7,11,4,19.3,0,1.21,0.13,183.8
DOC_100,Neurology,7,6,14,0,23.5,0,1.08,0.06,189.6
DOC_108,Cardiology,17,16,9,2,18.3,1,1.2,0.05,462.8
DOC_110,Neurology,12,11,14,4,22.9,1,1.23,0.1,354.1
DOC_112,Pediatrics,18,17,9,3,15.4,0,1.12,0.11,344.2
DOC_102,Dermatology,12,11,8,0,14.8,2,1.27,0.15,270.1
DOC_101,Orthopedics,18,17,9,0,17.7,0,1.41,0.16,561.2
DOC_110,General Medicine,17,16,12,3,11.6,0,1.14,0.14,197.2
DOC_109,General Medicine,23,22,14,5,15.5,1,1.28,0.11,475.2
DOC_102,General Medicine,12,11,14,2,12.2,0,1.21,0.16,160.5
DOC_106,Orthopedics,22,21,14,0,12.5,0,1.16,0.07,375.8
DOC_106,Dermatology,10,9,12,3,11.5,0,1.07,0.17,102.8
DOC_110,Cardiology,24,23,17,0,23.7,0,0.92,0.2,519.4
DOC_113,Orthopedics,14,13,8,2,14.7,0,0.82,0.16,144.5
DOC_114,General Medicine,5,4,16,4,16.7,0,1.11,0.2,65.7
DOC_108,Cardiology,20,19,8,5,20.6,0,0.91,0.13,330.3
DOC_101,General Medicine,19,18,10,1,16.9,0,0.94,0.06,348.5
DOC_113,Dermatology,4,3,10,3,13.9,0,1.5,0.07,73.7
DOC_101,Orthopedics,3,2,15,5,19.9,0,1.23,0.08,49.4
DOC_104,Dermatology,22,21,9,2,13.4,2,1.31,0.13,484.0
DOC_111,Neurology,5,4,14,3,25.9,0,0.82,0.2,82.7
DOC_102,Orthopedics,20,19,15,1,15.3,0,1.17,0.13,349.9
DOC_106,Orthopedics,18,17,14,4,11.6,3,1.09,0.17,275.3
DOC_114,Dermatology,9,8,8,4,11.7,0,1.39,0.18,123.3
DOC_102,Neurology,22,21,12,2,27.7,1,1.17,0.14,673.0
DOC_104,Dermatology,24,23,11,5,10.1,0,1.5,0.15,405.9
DOC_100,Neurology,5,4,8,4,26.5,1,1.37,0.18,176.4
DOC_102,Pediatrics,2,1,8,3,14.3,0,0.85,0.1,8.5
DOC_102,Neurology,8,7,9,1,19.3,1,1.29,0.06,247.8
DOC_101,Pediatrics,2,1,10,5,10.2,0,0.99,0.05,9.6
DOC_106,General Medicine,21,20,8,2,15.5,0,1.25,0.07,378.1
DOC_100,Neurology,22,21,8,1,28.9,0,1.3,0.17,721.3
DOC_107,Neurology,23,22,14,3,22.0,0,1.0,0.07,514.4
DOC_101,Orthopedics,17,16,11,1,16.0,1,1.22,0.18,377.9
DOC_107,Pediatrics,12,11,14,4,8.8,2,1.38,0.07,171.0
DOC_108,Orthopedics,18,17,15,4,18.6,0,1.06,0.19,337.4
DOC_102,General Medicine,24,23,12,4,17.2,1,1.27,0.19,480.2
DOC_111,Orthopedics,9,8,9,2,18.3,0,1.5,0.07,265.6
DOC_105,Dermatology,16,15,9,5,11.8,1,0.8,0.18,178.5
DOC_112,Pediatrics,2,1,9,0,8.5,1,1.31,0.15,37.9
DOC_103,General Medicine,4,3,14,3,17.0,3,0.84,0.15,97.2
DOC_105,Neurology,11,10,10,0,22.6,1,1.35,0.13,461.1
DOC_114,General Medicine,6,5,10,5,11.8,1,1.46,0.05,132.5
DOC_102,Neurology,24,23,14,0,32.2,2,1.16,0.15,1116.7
DOC_103,Dermatology,12,11,9,4,9.4,0,1.07,0.11,128.2
DOC_104,Neurology,1,0,14,3,19.3,0,1.2,0.14,0.0
DOC_104,Dermatology,19,18,8,2,15.1,1,1.22,0.09,338.3
DOC_112,Neurology,2,1,11,3,25.9,0,0.84,0.19,25.1
DOC_108,General Medicine,11,10,16,3,21.4,1,0.94,0.16,209.7
DOC_106,Pediatrics,13,12,14,3,11.6,0,1.27,0.09,182.4
DOC_100,Dermatology,15,14,8,5,15.7,0,0.9,0.05,189.7
DOC_103,Cardiology,18,17,10,1,16.7,0,1.15,0.15,377.0
DOC_104,Neurology,18,17,11,5,27.5,0,0.83,0.07,465.9
DOC_112,Dermatology,17,16,17,4,12.9,0,1.07,0.15,206.7
DOC_108,Dermatology,18,17,11,5,8.0,0,1.49,0.08,244.8
DOC_102,General Medicine,2,1,16,4,15.1,1,1.34,0.1,44.5
DOC_113,Cardiology,20,19,11,5,24.5,1,1.22,0.18,688.2
DOC_103,General Medicine,11,10,8,1,17.7,0,1.39,0.16,218.9
DOC_110,Neurology,3,2,15,4,23.7,0,1.0,0.11,49.0
DOC_110,Pediatrics,20,19,8,5,13.1,2,1.47,0.14,389.2
DOC_113,Cardiology,20,19,11,1,17.9,0,0.97,0.08,398.6
DOC_112,Dermatology,11,10,14,4,12.0,0,0.92,0.18,107.2
DOC_112,Cardiology,11,10,11,4,20.3,0,1.33,0.09,324.3
DOC_111,Pediatrics,4,3,15,3,14.4,0,0.94,0.14,44.8
DOC_108,Orthopedics,14,13,8,3,16.7,0,1.42,0.12,290.1
DOC_114,Orthopedics,2,1,14,1,16.6,1,1.16,0.12,47.6
DOC_104,Dermatology,21,20,14,0,10.5,0,0.84,0.1,211.7
DOC_108,Pediatrics,21,20,10,2,13.3,1,0.84,0.08,282.1
DOC_111,Neurology,9,8,15,1,27.4,0,1.03,0.16,233.2
DOC_110,Orthopedics,15,14,14,5,16.6,0,1.21,0.15,282.2
DOC_110,Pediatrics,9,8,9,1,12.5,0,1.05,0.19,120.6
DOC_114,Cardiology,17,16,11,0,20.5,0,1.48,0.12,652.2
DOC_101,Orthopedics,7,6,15,0,17.2,0,1.36,0.08,171.2
DOC_112,Neurology,12,11,12,4,26.3,2,1.15,0.11,386.7
DOC_114,Dermatology,18,17,8,2,14.1,1,0.81,0.16,194.7
DOC_113,Pediatrics,19,18,14,0,10.4,2,0.84,0.13,210.2
DOC_110,Neurology,20,19,12,3,26.3,0,1.41,0.15,650.7
DOC_104,Neurology,16,15,17,2,28.3,0,1.27,0.06,529.7
DOC_100,Dermatology,12,11,12,0,9.0,0,1.41,0.14,145.4
DOC_107,Orthopedics,9,8,12,4,16.0,0,0.94,0.11,112.9
DOC_100,General Medicine,23,22,9,2,17.1,1,1.22,0.2,549.3
DOC_107,Pediatrics,10,9,9,5,14.9,0,1.49,0.13,232.6
DOC_101,Pediatrics,17,16,10,2,11.0,0,1.16,0.16,236.1
DOC_101,Dermatology,11,10,11,2,17.6,0,1.47,0.09,310.6
DOC_105,Dermatology,15,14,11,4,17.0,0,1.48,0.09,425.2
DOC_109,Cardiology,9,8,11,2,22.5,0,1.41,0.19,292.5
DOC_109,Cardiology,24,23,11,1,21.7,0,0.84,0.14,488.6
DOC_112,Dermatology,19,18,16,3,12.2,1,1.23,0.16,268.3
DOC_105,Neurology,21,20,15,3,22.4,1,1.37,0.13,669.6
DOC_110,Pediatrics,18,17,14,0,20.9,1,0.84,0.19,369.1
DOC_114,Cardiology,16,15,15,2,17.9,0,1.31,0.14,356.8
DOC_110,Pediatrics,18,17,14,2,10.6,0,1.0,0.17,177.4
DOC_102,Pediatrics,14,13,10,5,10.0,0,1.44,0.14,217.9
DOC_108,Cardiology,11,10,12,5,18.7,0,1.11,0.15,196.8
DOC_104,Dermatology,11,10,11,4,12.0,0,1.15,0.06,157.9
DOC_105,Dermatology,3,2,10,1,10.0,0,1.45,0.07,31.8
DOC_112,General Medicine,15,14,12,2,17.6,1,0.81,0.19,200.4
DOC_110,Pediatrics,20,19,15,4,8.6,0,1.44,0.19,236.1
DOC_103,Neurology,7,6,9,0,25.3,0,1.07,0.13,210.5
DOC_102,Neurology,23,22,15,2,29.3,0,0.81,0.09,548.9
DOC_114,General Medicine,20,19,9,4,19.8,0,0.8,0.16,343.9
DOC_105,Dermatology,1,0,10,5,8.3,0,1.42,0.09,0.2
DOC_109,Dermatology,10,9,11,5,9.1,0,0.97,0.09,95.6
DOC_105,Neurology,9,8,10,5,25.3,1,1.28,0.11,354.1
DOC_109,Cardiology,13,12,15,1,18.1,0,1.46,0.15,318.9
DOC_104,General Medicine,17,16,9,4,12.3,1,1.28,0.17,309.3
DOC_106,General Medicine,11,10,8,4,16.6,0,1.42,0.08,231.0
DOC_109,Dermatology,9,8,11,0,13.0,0,1.41,0.08,204.4
DOC_111,Orthopedics,19,18,15,0,18.8,1,1.13,0.06,493.8
DOC_113,Cardiology,8,7,16,3,19.2,0,1.49,0.12,191.5
DOC_112,General Medicine,14,13,10,2,12.7,1,1.06,0.11,225.7
